season_start,date,home,away,home_goals,away_goals,referee,referee_id
2024,2025-03-09,Santa Clara,Moreirense,1,1,Bruno Pires Costa,11547
2024,2025-03-10,Famalicao,Rio Ave,1,0,Carlos Macedo,5286
2024,2025-03-15,Porto,AVS,2,0,Fabio Verissimo,5166
2024,2025-03-15,Farense,Sp Braga,0,1,Gustavo Correia,8873
2024,2025-03-15,Gil Vicente,Santa Clara,0,1,Iancu Vasilica,5457
2024,2025-03-15,Sp Lisbon,Famalicao,3,1,Miguel Nogueira,8910
2024,2025-03-16,Arouca,Estoril,1,1,Anzhony Rodrigues,8766
2024,2025-03-16,Moreirense,Boavista,1,0,Ricardo Baixinho,5302
2024,2025-03-16,Nacional,Casa Pia,3,1,Sergio Guelho,11327
2024,2025-03-16,Rio Ave,Benfica,2,3,Joao Goncalves,11471
2024,2025-03-16,Guimaraes,Estrela,2,0,Antonio Nobre,5458
2024,2025-03-28,Gil Vicente,Benfica,0,3,Miguel Nogueira,8910
2024,2025-03-29,Casa Pia,Rio Ave,2,1,Catarina Campos,8704
2024,2025-03-29,Estrela,Sp Lisbon,0,3,Gustavo Correia,8873
2024,2025-03-29,Sp Braga,Arouca,2,1,Bruno Pires Costa,11547
2024,2025-03-30,Estoril,Porto,1,2,Helder Malheiro,3046
2024,2025-03-30,Famalicao,AVS,4,1,Jose Bessa,12889
2024,2025-03-30,Moreirense,Guimaraes,2,2,Claudio Pereira,8767
2024,2025-03-30,Santa Clara,Nacional,1,0,Miguel Fonseca,8761
2024,2025-04-01,Boavista,Gil Vicente,1,3,Carlos Macedo,5286
2024,2025-04-02,Benfica,Farense,3,2,Helder Carvalho,11530
2024,2025-04-04,AVS,Estoril,0,3,Andre Narciso,4503
2024,2025-04-05,Arouca,Famalicao,1,2,Goncalo Neves,13034
2024,2025-04-05,Guimaraes,Santa Clara,2,0,Helder Carvalho,11530
2024,2025-04-06,Porto,Benfica,1,4,Joao Pinheiro,5157
2024,2025-04-06,Gil Vicente,Moreirense,0,1,Jose Bessa,12889
2024,2025-04-06,Nacional,Estrela,0,1,Helder Malheiro,3046
2024,2025-04-07,Farense,Casa Pia,0,0,Iancu Vasilica,5457
2024,2025-04-07,Rio Ave,Boavista,0,2,Claudio Pereira,8767
2024,2025-04-07,Sp Lisbon,Sp Braga,1,1,Luis Godinho,5401
2024,2025-04-11,Gil Vicente,Guimaraes,0,1,Ricardo Baixinho,5302
2024,2025-04-12,Boavista,Nacional,0,1,David Silva,11505
2024,2025-04-12,Casa Pia,Porto,0,1,Helder Carvalho,11530
2024,2025-04-12,Famalicao,Estoril,3,0,Miguel Fonseca,8761
2024,2025-04-12,Santa Clara,Sp Lisbon,0,1,Claudio Pereira,8767
2024,2025-04-13,Benfica,Arouca,2,2,Antonio Nobre,5458
2024,2025-04-13,Estrela,Farense,0,1,Fabio Verissimo,5166
2024,2025-04-13,Moreirense,Rio Ave,0,2,Bruno Pires Costa,11547
2024,2025-04-13,Sp Braga,AVS,4,1,Tiago Martins,5170
2024,2025-04-18,Porto,Famalicao,2,1,Miguel Nogueira,8910
2024,2025-04-18,Farense,Boavista,0,1,Luis Godinho,5401
2024,2025-04-18,Rio Ave,Santa Clara,1,1,Sergio Guelho,11327
2024,2025-04-18,Sp Lisbon,Moreirense,3,1,Fabio Verissimo,5166
2024,2025-04-19,AVS,Casa Pia,1,1,Pedro Ramalho,5402
2024,2025-04-19,Estoril,Sp Braga,0,2,Joao Pinheiro,5157
2024,2025-04-19,Arouca,Estrela,1,0,Bruno Vieira,7583
2024,2025-04-19,Nacional,Gil Vicente,0,3,Iancu Vasilica,5457
2024,2025-04-19,Guimaraes,Benfica,0,3,Gustavo Correia,8873
2024,2025-04-25,Famalicao,Sp Braga,1,1,Joao Goncalves,11471
2024,2025-04-26,Estrela,Porto,2,0,David Silva,11505
2024,2025-04-26,Gil Vicente,Farense,1,0,Gustavo Correia,8873
2024,2025-04-26,Santa Clara,Arouca,2,0,Ricardo Baixinho,5302
2024,2025-04-27,Benfica,AVS,6,0,Carlos Macedo,5286
2024,2025-04-27,Boavista,Sp Lisbon,0,5,Miguel Nogueira,8910
2024,2025-04-27,Moreirense,Nacional,1,1,Bruno Vieira,7583
2024,2025-04-27,Guimaraes,Rio Ave,3,0,Jose Bessa,12889
2024,2025-04-29,Casa Pia,Estoril,1,3,Goncalo Neves,13034
2024,2025-05-02,Porto,Moreirense,3,1,Gustavo Correia,8873
2024,2025-05-03,Estoril,Benfica,1,2,Joao Goncalves,11471
2024,2025-05-03,Farense,Famalicao,2,1,Andre Narciso,4503
2024,2025-05-03,Nacional,Guimaraes,1,2,Sergio Guelho,11327
2024,2025-05-03,Sp Braga,Santa Clara,1,1,Antonio Nobre,5458
2024,2025-05-04,Arouca,Casa Pia,0,0,Iancu Vasilica,5457
2024,2025-05-04,Sp Lisbon,Gil Vicente,2,1,Tiago Martins,5170
2024,2025-05-05,AVS,Boavista,1,2,Fabio Verissimo,5166
2024,2025-05-05,Rio Ave,Estrela,2,0,Pedro Ramalho,5402
2024,2025-05-10,Benfica,Sp Lisbon,1,1,Joao Pinheiro,5157
2024,2025-05-10,Casa Pia,Sp Braga,2,1,Luis Godinho,5401
2024,2025-05-10,Gil Vicente,Arouca,1,1,Carlos Macedo,5286
2024,2025-05-10,Nacional,Rio Ave,3,3,Bruno Pires Costa,11547
2024,2025-05-10,Santa Clara,Famalicao,2,1,Jose Bessa,12889
2024,2025-05-11,Boavista,Porto,1,2,Claudio Pereira,8767
2024,2025-05-11,Estrela,AVS,0,1,Tiago Martins,5170
2024,2025-05-11,Moreirense,Estoril,2,2,Miguel Fonseca,8761
2024,2025-05-11,Guimaraes,Farense,1,2,David Silva,11505
2024,2025-05-16,Famalicao,Casa Pia,2,1,Bruno Pires Costa,11547
2024,2025-05-16,Rio Ave,Gil Vicente,1,1,Bruno Vieira,7583
2024,2025-05-17,AVS,Moreirense,0,3,Joao Goncalves,11471
2024,2025-05-17,Estoril,Estrela,4,0,Gustavo Correia,8873
2024,2025-05-17,Arouca,Boavista,4,1,Andre Narciso,4503
2024,2025-05-17,Porto,Nacional,3,0,Jose Bessa,12889
2024,2025-05-17,Farense,Santa Clara,1,2,Claudio Pereira,8767
2024,2025-05-17,Sp Braga,Benfica,1,1,Miguel Nogueira,8910
2024,2025-05-17,Sp Lisbon,Guimaraes,2,0,Fabio Verissimo,5166
2025,2025-08-08,Casa Pia,Sp Lisbon,0,2,Gustavo Correia,8873
2025,2025-08-09,Arouca,AVS,3,1,Sergio Guelho,11327
2025,2025-08-09,Nacional,Gil Vicente,0,2,David Silva,11505
2025,2025-08-10,Famalicao,Santa Clara,3,0,Luis Godinho,5401
2025,2025-08-10,Moreirense,Alverca,2,1,Helder Malheiro,3046
2025,2025-08-10,Sp Braga,Tondela,3,0,Claudio Pereira,8767
2025,2025-08-11,Estoril,Estrela,1,1,Anzhony Rodrigues,8766
2025,2025-08-11,Porto,Guimaraes,3,0,Antonio Nobre,5458
2025,2025-08-15,AVS,Casa Pia,0,2,Pedro Ramalho,5402
